Epoch,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
0,-17.739590701182067,266.32313298200654,237.94975277091015,168.41199037946842,279.27430809124695,221.75334724548776,262.27430809124695,228.59106958531936,226.67566001502422,175.72194783481524
1,-6.180384597421579,255.71758170654255,156.10716717885384,130.50776078277931,263.87985936671095,221.75334724548776,254.71758170654255,229.75334724548776,330.12132564616394,228.27041117811478
2,-235.8208189569297,256.71758170654255,239.11203043107855,282.18192383527776,287.71758170654255,221.517279267988,147.33179099990474,235.911727992524,246.27041117811478,237.03434320061498
3,15.678456841390215,254.71758170654255,246.59106958531936,245.2576179181611,283.28530591683887,221.75334724548776,254.27430809124695,229.75334724548776,236.2323863997286,235.428791925151
4,272.3841944371453,246.71758170654255,239.11203043107855,-550.7928950858877,264.87985936671095,227.5662369351508,254.27430809124695,229.75334724548776,170.78239172202063,228.27041117811478
5,103.98183630029538,261.11203043107855,239.11203043107855,237.543573030703,279.11203043107855,220.517279267988,254.27430809124695,229.75334724548776,242.78911278443297,227.79827522311518
6,-23.111014069910595,246.71758170654255,280.11203043107855,267.50647915561456,263.59106958531936,220.517279267988,254.27430809124695,229.75334724548776,227.59106958531936,238.27041117811478
7,97.23414028191706,255.71758170654255,228.4776168159106,275.50647915561456,181.101584523135,244.90092788015056,254.27430809124695,238.75334724548776,236.3550016078196,237.03434320061498
8,-37.74623284400545,254.27430809124695,255.9539801736641,267.50647915561456,262.27430809124695,178.6171667097422,255.27430809124695,236.59106958531936,249.4222192155315,243.428791925151
9,41.26464697483419,255.55530404637415,255.11203043107855,267.50647915561456,272.87985936671095,236.59106958531936,161.59627023142139,229.75334724548776,80.38657691847999,228.27041117811478
10,243.43866930489327,262.11203043107855,245.27041117811478,252.34420149544616,263.87985936671095,230.43268883828316,261.34420149544616,236.2746385808687,227.3550016078196,232.5912023617226
11,13.924166516379131,245.50647915561456,228.27041117811478,293.62674905683997,256.27430809124695,220.75334724548776,270.6648599026508,229.75334724548776,236.2323863997286,234.8720655404466
12,-788.4909493079405,263.55530404637415,263.71758170654255,267.50647915561456,256.27430809124695,235.14779597002376,296.4749410194232,229.75334724548776,225.3748992220599,242.34420149544616
